length,time_suffix_array,time_suffix_tree,time_fm,memory_suffix_array,memory_suffix_tree,memory_fm
7255,0.0175912142,0.0000000000,0.0000000000,26667.1142578125,0.4921875000,0.5654296875
7376,0.0196799469,0.0000000000,0.0000000000,27547.6728515625,0.3968750000,0.5654296875
7427,0.0237792730,0.0000000000,0.0000000000,27923.1005859375,0.3906250000,0.4199218750
7456,0.0209185362,0.0000000000,0.0000000000,28137.7119140625,0.4453125000,0.5654296875
7493,0.0274127626,0.0000000000,0.0000760221,28427.3437500000,0.4609375000,0.5341796875
7497,0.0209036160,0.0000000000,0.0001687860,28457.1542968750,0.4609375000,0.5341796875
7516,0.0244555855,0.0000000000,0.0000806141,28598.9677734375,0.4434375000,0.5654296875
7603,0.0226353502,0.0000000000,0.0000353765,29252.8271484375,0.5234375000,0.5966796875
7743,0.0266923332,0.0000000000,0.0000000000,30320.5322265625,0.4340625000,0.5654296875
7901,0.0256943750,0.0000000000,0.0000000000,31548.5039062500,0.4403125000,0.5341796875
8037,0.0232425642,0.0000000000,0.0001425838,32625.0156250000,0.4453125000,0.5654296875
8070,0.0316821575,0.0000000000,0.0000000000,32888.9511718750,0.4193750000,0.5654296875
8217,0.0323273945,0.0000000000,0.0000000000,34077.5839843750,0.4250000000,0.5654296875
8245,0.0249377012,0.0000000000,0.0000335121,34306.3828125000,0.4921875000,0.5654296875
8318,0.0252530241,0.0000104856,0.0000000000,34906.4941406250,0.4359375000,0.5654296875
8356,0.0286843777,0.0000112104,0.0001609516,35220.9404296875,0.4921875000,0.5966796875
8392,0.0419662523,0.0000000000,0.0000229597,35520.1376953125,0.4296875000,0.5654296875
8407,0.0338035107,0.0000000000,0.0000000000,35661.6767578125,0.4453125000,0.5654296875
8468,0.0263125134,0.0000000000,0.0000000000,36172.4326171875,0.4921875000,0.5654296875
8492,0.0266491079,0.0000000000,0.0000000000,36374.3818359375,0.4096875000,0.5654296875
8560,0.0269661283,0.0002032042,0.0000000000,36949.6259765625,0.4453125000,0.5654296875
8607,0.0279801559,0.0000000000,0.0000000000,37349.8603515625,0.4296875000,0.5654296875
8617,0.0311368895,0.0000000000,0.0000000000,37435.2949218750,0.4571875000,0.5341796875
8643,0.0382584810,0.0000000000,0.0000000000,37657.8818359375,0.4181250000,0.5654296875
8650,0.0262796640,0.0000000000,0.0000000000,37717.9218750000,0.4087500000,0.5654296875
8654,0.0240581608,0.0000401831,0.0000000000,37752.2519531250,0.4393750000,0.5341796875
8663,0.0241074181,0.0000000000,0.0000000000,37829.5517578125,0.4190625000,0.5654296875
8725,0.0295488310,0.0000000000,0.0001542902,38364.2109375000,0.4453125000,0.5654296875
8778,0.0243744850,0.0000000000,0.0000000000,38824.2343750000,0.4609375000,0.5341796875
8976,0.0258420420,0.0000402308,0.0000000000,40567.0791015625,0.4218750000,0.5654296875
9035,0.0256180239,0.0000000000,0.0000804472,41093.8154296875,0.4609375000,0.5341796875
9039,0.0280342627,0.0000000000,0.0000000000,41129.6494140625,0.4609375000,0.5341796875
9114,0.0282319260,0.0000000000,0.0000000000,41804.4296875000,0.5234375000,0.5654296875
9126,0.0284709454,0.0000000000,0.0000000000,41912.9042968750,0.4453125000,0.5654296875
9230,0.0280329561,0.0000000000,0.0000000000,42858.9082031250,0.4609375000,0.5341796875
9324,0.0298423052,0.0000000000,0.0000000000,43723.0380859375,0.4303125000,0.5654296875
9371,0.0294106150,0.0000302887,0.0000000000,44158.3388671875,0.4921875000,0.5654296875
9376,0.0317664146,0.0000000000,0.0000000000,44204.7744140625,0.4453125000,0.5654296875
9450,0.0293442249,0.0000000000,0.0000000000,44894.8750000000,0.4921875000,0.5654296875
9634,0.0293853664,0.0000000000,0.0000000000,46652.5429687500,0.4921875000,0.5654296875
9658,0.0341593552,0.0000000000,0.0000000000,46881.8203125000,0.5234375000,0.5654296875
9667,0.0311598539,0.0000000000,0.0000000000,46967.9443359375,0.3906250000,0.4199218750
9805,0.0355311584,0.0000000000,0.0003195620,48298.4179687500,0.4296875000,0.5654296875
9812,0.0315792513,0.0000000000,0.0000000000,48366.4013671875,0.4453125000,0.5654296875
9872,0.0336463785,0.0000000000,0.0000000000,48951.0791015625,0.4253125000,0.5341796875
9919,0.0324473143,0.0000000000,0.0000000000,49411.5322265625,0.4790625000,0.5654296875
9934,0.0319145489,0.0000000000,0.0000934172,49558.9394531250,0.5234375000,0.5966796875
