Algorithm,Text Length,Pattern Length,Time (s),Memory (KB)
Suffix Array,6700,10,0.009897756576538085,22786.2607421875
Suffix Tree,6700,10,1.3780593872070312e-05,0.3984375
FM Index,6700,10,1.816749572753906e-05,0.525390625
Suffix Array,6750,10,0.010222768783569336,23121.099609375
Suffix Tree,6750,10,9.441375732421875e-06,0.4453125
FM Index,6750,10,1.9931793212890624e-05,0.525390625
Suffix Array,6800,10,0.011643600463867188,23458.3798828125
Suffix Tree,6800,10,1.0752677917480469e-05,0.3984375
FM Index,6800,10,2.114772796630859e-05,0.525390625
Suffix Array,6850,10,0.011370372772216798,23798.1015625
Suffix Tree,6850,10,1.0061264038085938e-05,0.41796875
FM Index,6850,10,2.2077560424804686e-05,0.525390625
Suffix Array,6900,10,0.011592698097229005,24141.3505859375
Suffix Tree,6900,10,1.0156631469726561e-05,0.3984375
FM Index,6900,10,2.0956993103027345e-05,0.525390625
Suffix Array,6950,10,0.010604953765869141,24485.955078125
Suffix Tree,6950,10,1.0347366333007812e-05,0.3984375
FM Index,6950,10,2.0670890808105466e-05,0.525390625
Suffix Array,7000,10,0.011884927749633789,24846.7626953125
Suffix Tree,7000,10,9.965896606445312e-06,0.4453125
FM Index,7000,10,1.94549560546875e-05,0.525390625
Suffix Array,7050,10,0.011469030380249023,25182.48828125
Suffix Tree,7050,10,9.34600830078125e-06,0.3984375
FM Index,7050,10,2.0885467529296874e-05,0.525390625
Suffix Array,7100,10,0.010999608039855956,25534.4169921875
Suffix Tree,7100,10,1.0919570922851562e-05,0.4453125
FM Index,7100,10,1.986026763916016e-05,0.525390625
Suffix Array,7150,10,0.011922883987426757,25887.701171875
Suffix Tree,7150,10,9.465217590332032e-06,0.3984375
FM Index,7150,10,2.1266937255859376e-05,0.525390625
Suffix Array,7200,10,0.011857080459594726,26149.2060546875
Suffix Tree,7200,10,1.0061264038085938e-05,0.3984375
FM Index,7200,10,2.036094665527344e-05,0.525390625
Suffix Array,7250,10,0.012177824974060059,26603.765625
Suffix Tree,7250,10,1.0013580322265625e-05,0.4453125
FM Index,7250,10,2.0051002502441405e-05,0.525390625
Suffix Array,7300,10,0.011454129219055175,26965.4599609375
Suffix Tree,7300,10,1.049041748046875e-05,0.3984375
FM Index,7300,10,2.0551681518554688e-05,0.525390625
Suffix Array,7350,10,0.013387656211853028,27329.744140625
Suffix Tree,7350,10,1.2111663818359374e-05,0.4453125
FM Index,7350,10,2.4771690368652345e-05,0.525390625
Suffix Array,7400,10,0.012640810012817383,27697.2587890625
Suffix Tree,7400,10,1.3899803161621093e-05,0.3984375
FM Index,7400,10,2.0432472229003904e-05,0.525390625
Suffix Array,7450,10,0.01227426528930664,28065.33984375
Suffix Tree,7450,10,1.0085105895996093e-05,0.3984375
FM Index,7450,10,2.1791458129882814e-05,0.525390625
Suffix Array,7500,10,0.012785625457763673,28451.2763671875
Suffix Tree,7500,10,1.0538101196289063e-05,0.4453125
FM Index,7500,10,1.9621849060058596e-05,0.525390625
Suffix Array,7550,10,0.01268751621246338,28826.982421875
Suffix Tree,7550,10,9.34600830078125e-06,0.3984375
FM Index,7550,10,2.036094665527344e-05,0.525390625
Suffix Array,7600,10,0.012198233604431152,29201.6689453125
Suffix Tree,7600,10,1.0728836059570312e-05,0.4453125
FM Index,7600,10,2.1576881408691406e-05,0.525390625
Suffix Array,7650,10,0.014445352554321288,29581.390625
Suffix Tree,7650,10,1.10626220703125e-05,0.3984375
FM Index,7650,10,2.1386146545410157e-05,0.525390625
Suffix Array,7700,10,0.012603974342346192,29961.5302734375
Suffix Tree,7700,10,1.1706352233886719e-05,0.3984375
FM Index,7700,10,2.148151397705078e-05,0.525390625
Suffix Array,7750,10,0.019269514083862304,30345.345703125
Suffix Tree,7750,10,1.94549560546875e-05,0.4453125
FM Index,7750,10,3.0207633972167966e-05,0.525390625
Suffix Array,7800,10,0.018787050247192384,30731.3056640625
Suffix Tree,7800,10,1.7881393432617188e-05,0.3984375
FM Index,7800,10,3.345012664794922e-05,0.525390625
Suffix Array,7850,10,0.01867218017578125,31120.00390625
Suffix Tree,7850,10,2.0051002502441405e-05,0.4453125
FM Index,7850,10,3.47137451171875e-05,0.458984375
Suffix Array,7900,10,0.021745967864990234,31510.9951171875
Suffix Tree,7900,10,1.8334388732910158e-05,0.3984375
FM Index,7900,10,3.2734870910644534e-05,0.525390625
Suffix Array,7950,10,0.0205507755279541,31904.279296875
Suffix Tree,7950,10,1.0204315185546874e-05,0.3984375
FM Index,7950,10,2.0718574523925783e-05,0.525390625
Suffix Array,8000,10,0.013590431213378907,32301.2392578125
Suffix Tree,8000,10,1.049041748046875e-05,0.4453125
FM Index,8000,10,2.09808349609375e-05,0.525390625
Suffix Array,8050,10,0.013624095916748047,32703.111328125
Suffix Tree,8050,10,1.049041748046875e-05,0.3984375
FM Index,8050,10,2.272129058837891e-05,0.525390625
Suffix Array,8100,10,0.013844561576843262,33099.2255859375
Suffix Tree,8100,10,1.080036163330078e-05,0.4453125
